Doc ID,Stage,Text Output,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4,Cumulative Confidence 5,Cumulative Confidence 6,Cumulative Confidence 7,Cumulative Confidence 8,Cumulative Confidence 9,Cumulative Confidence 10
"(991,)",Stage 0,['Yes'],"tensor(0.6825, device='cuda:0')","tensor(0.6825, device='cuda:0')"
"(991,)",Stage 1,['Yes'],"tensor(0.7056, device='cuda:0')","tensor(0.7056, device='cuda:0')"
"(991,)",Stage 2,['Yes'],"tensor(0.6925, device='cuda:0')","tensor(0.6925, device='cuda:0')"
"(991,)",Stage 3,['Yes'],"tensor(0.7153, device='cuda:0')","tensor(0.7153, device='cuda:0')"
"(997,)",Stage 0,['No'],"tensor(0.8355, device='cuda:0')","tensor(0.8354, device='cuda:0')"
"(997,)",Stage 1,['No'],"tensor(0.7904, device='cuda:0')","tensor(0.7904, device='cuda:0')"
"(997,)",Stage 2,['No'],"tensor(0.8151, device='cuda:0')","tensor(0.8151, device='cuda:0')"
"(997,)",Stage 3,['No'],"tensor(0.7903, device='cuda:0')","tensor(0.7903, device='cuda:0')"
"(990,)",Stage 0,['Yes'],"tensor(0.6992, device='cuda:0')","tensor(0.6992, device='cuda:0')"
"(990,)",Stage 1,['Yes'],"tensor(0.6858, device='cuda:0')","tensor(0.6858, device='cuda:0')"
"(990,)",Stage 2,['Yes'],"tensor(0.6150, device='cuda:0')","tensor(0.6149, device='cuda:0')"
"(990,)",Stage 3,['Yes'],"tensor(0.7185, device='cuda:0')","tensor(0.7185, device='cuda:0')"
"(1058,)",Stage 0,['Yes'],"tensor(0.5544, device='cuda:0')","tensor(0.5542, device='cuda:0')"
"(1058,)",Stage 1,['Yes'],"tensor(0.5503, device='cuda:0')","tensor(0.5503, device='cuda:0')"
"(1058,)",Stage 2,['Yes'],"tensor(0.5421, device='cuda:0')","tensor(0.5421, device='cuda:0')"
"(1058,)",Stage 3,['Yes'],"tensor(0.5382, device='cuda:0')","tensor(0.5382, device='cuda:0')"
