Doc ID,Stage,Text Output,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4,Cumulative Confidence 5,Cumulative Confidence 6,Cumulative Confidence 7,Cumulative Confidence 8,Cumulative Confidence 9,Cumulative Confidence 10
"(823,)",Stage 0,['B'],0.3462969661758972
"(823,)",Stage 1,['B'],0.32516980181203614
"(823,)",Stage 2,['C'],0.28243401656614076
"(823,)",Stage 3,['B'],0.28594061742292176
"(786,)",Stage 0,['B'],0.34639275084005133
"(786,)",Stage 1,['A'],0.31488218913541566
"(786,)",Stage 2,['A'],0.34107890735135804
"(786,)",Stage 3,['A'],0.3440779746578766
"(868,)",Stage 0,['B'],0.49678498516546027
"(868,)",Stage 1,['B'],0.461686372856958
"(868,)",Stage 2,['A'],0.5634191037224365
"(868,)",Stage 3,['A'],0.5636888147400452
"(1277,)",Stage 0,['B'],0.4586210251854492
"(1277,)",Stage 1,['B'],0.36857128153310553
"(1277,)",Stage 2,['B'],0.3924226463841034
"(1277,)",Stage 3,['B'],0.28648969541059266
"(880,)",Stage 0,['B'],0.34739309559331666
"(880,)",Stage 1,['A'],0.38565757880674134
"(880,)",Stage 2,['A'],0.4590113163994385
"(880,)",Stage 3,['A'],0.4074347020195557
"(1245,)",Stage 0,['B'],0.3487691880272461
"(1245,)",Stage 1,['B'],0.31152758012281184
"(1245,)",Stage 2,['A'],0.2825838328407837
"(1245,)",Stage 3,['B'],0.21961762021051182
"(1052,)",Stage 0,['A'],0.803259015183313
"(1052,)",Stage 1,['A'],0.6566864253090454
"(1052,)",Stage 2,['A'],0.889883041481836
"(1052,)",Stage 3,['A'],0.8576446176575256
"(1284,)",Stage 0,['B'],0.5699570776032044
"(1284,)",Stage 1,['B'],0.4188495875404908
"(1284,)",Stage 2,['B'],0.36144688735471503
"(1284,)",Stage 3,['B'],0.30512693534360663
"(1397,)",Stage 0,['C'],0.40726518640981446
"(1397,)",Stage 1,['B'],0.36411023149953625
